"AVAILABLEMEMORY","CPULOADLAST15MINUTE","CPULOADLAST1MINUTE","CPULOADLAST5MINUTE","FREEMEMORY","FREESWAPMEMORY","TIME","TOTALMEMORY","TOTALSWAPMEMORY","USEDMEMORY","USEDSWAPMEMORY"
"6369","1.61","1.61","1.72","2372","0","00:01:16","15894","0","8278","40"
"6369","1.61","1.61","1.72","2372","0","00:01:17","15894","0","8278","40"
"6368","1.61","1.64","1.73","2371","0","00:01:18","15894","0","8277","40"
"6368","1.61","1.64","1.73","2371","0","00:01:19","15894","0","8278","40"
"6368","1.61","1.64","1.73","2371","0","00:01:20","15894","0","8278","40"
"6368","1.61","1.64","1.73","2371","0","00:01:21","15894","0","8279","40"
"6367","1.61","1.64","1.73","2370","0","00:01:22","15894","0","8277","40"
"6366","1.62","1.83","1.76","2369","0","00:01:23","15894","0","8278","40"
"6367","1.62","1.83","1.76","2370","0","00:01:24","15894","0","8280","40"
"6365","1.62","1.83","1.76","2368","0","00:01:25","15894","0","8280","40"
"6355","1.62","1.83","1.76","2358","0","00:01:26","15894","0","8281","40"
"6354","1.62","1.83","1.76","2357","0","00:01:27","15894","0","8282","40"
"6357","1.63","1.84","1.77","2360","0","00:01:28","15894","0","8282","40"
"6355","1.63","1.84","1.77","2358","0","00:01:29","15894","0","8283","40"
"6360","1.63","1.84","1.77","2363","0","00:01:30","15894","0","8285","40"
"6361","1.63","1.84","1.77","2364","0","00:01:31","15894","0","8284","40"
"6360","1.63","1.84","1.77","2363","0","00:01:32","15894","0","8284","40"
"6360","1.64","2.02","1.81","2363","0","00:01:33","15894","0","8285","40"
"6360","1.64","2.02","1.81","2363","0","00:01:34","15894","0","8285","40"
"6360","1.64","2.02","1.81","2363","0","00:01:35","15894","0","8285","40"
"6360","1.64","2.02","1.81","2363","0","00:01:36","15894","0","8285","40"
"6367","1.64","2.02","1.81","2370","0","00:01:37","15894","0","8279","40"
"6368","1.64","1.94","1.79","2371","0","00:01:38","15894","0","8278","40"
"6366","1.64","1.94","1.79","2369","0","00:01:39","15894","0","8278","40"
"6368","1.64","1.94","1.79","2370","0","00:01:40","15894","0","8279","40"
"6360","1.64","1.94","1.79","2363","0","00:01:41","15894","0","8279","40"
"6359","1.64","1.94","1.79","2362","0","00:01:42","15894","0","8279","40"
"6365","1.66","2.26","1.86","2368","0","00:01:43","15894","0","8280","40"
"6365","1.66","2.26","1.86","2368","0","00:01:44","15894","0","8280","40"
"6366","1.66","2.26","1.86","2369","0","00:01:45","15894","0","8281","40"
"6365","1.66","2.26","1.86","2368","0","00:01:46","15894","0","8281","40"
"6365","1.66","2.26","1.86","2368","0","00:01:47","15894","0","8281","40"
"6365","1.66","2.16","1.85","2368","0","00:01:48","15894","0","8281","40"
"6364","1.66","2.16","1.85","2367","0","00:01:49","15894","0","8281","40"
"6363","1.66","2.16","1.85","2366","0","00:01:50","15894","0","8281","40"
"6364","1.66","2.16","1.85","2367","0","00:01:51","15894","0","8281","40"
"6363","1.66","2.16","1.85","2365","0","00:01:52","15894","0","8282","40"
"6363","1.65","2.07","1.83","2366","0","00:01:53","15894","0","8282","40"
"6354","1.65","2.07","1.83","2357","0","00:01:54","15894","0","8280","40"
"6359","1.65","2.07","1.83","2362","0","00:01:55","15894","0","8284","40"
"6356","1.65","2.07","1.83","2359","0","00:01:56","15894","0","8282","40"
"6359","1.65","2.07","1.83","2362","0","00:01:57","15894","0","8284","40"
"6360","1.64","1.90","1.80","2363","0","00:01:58","15894","0","8283","40"
"6360","1.64","1.90","1.80","2363","0","00:01:59","15894","0","8285","40"
"6360","1.64","1.90","1.80","2363","0","00:02:00","15894","0","8285","40"
"6360","1.64","1.90","1.80","2363","0","00:02:01","15894","0","8286","40"
"6360","1.64","1.90","1.80","2363","0","00:02:02","15894","0","8285","40"
"6359","1.64","1.91","1.81","2361","0","00:02:03","15894","0","8286","40"
"6360","1.64","1.91","1.81","2363","0","00:02:04","15894","0","8286","40"
"6358","1.64","1.91","1.81","2361","0","00:02:05","15894","0","8286","40"
"6358","1.64","1.91","1.81","2360","0","00:02:06","15894","0","8287","40"
"6359","1.64","1.91","1.81","2362","0","00:02:07","15894","0","8288","40"
"6348","1.65","1.92","1.81","2351","0","00:02:08","15894","0","8288","40"
"6365","1.65","1.92","1.81","2368","0","00:02:09","15894","0","8289","40"
"6365","1.65","1.92","1.81","2368","0","00:02:10","15894","0","8289","40"
"6365","1.65","1.92","1.81","2368","0","00:02:11","15894","0","8289","40"
"6365","1.65","1.92","1.81","2368","0","00:02:12","15894","0","8290","40"
"6365","1.64","1.76","1.78","2368","0","00:02:13","15894","0","8290","40"
